timestamp	gaze sample index	pupil_center_left_x	pupil_center_left_y	pupil_center_left_z	pupil_diameter_left	gaze_direction_left_x	gaze_direction_left_y	gaze_direction_left_z	azimuth_left	elevation_left	pupil_center_right_x	pupil_center_right_y	pupil_center_right_z	pupil_diameter_right	gaze_direction_right_x	gaze_direction_right_y	gaze_direction_right_z	azimuth_right	elevation_right	gaze_point_video_x	gaze_point_video_y	gaze_point_3D_x	gaze_point_3D_y	gaze_point_3D_z
1.344900e-01	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.547150e-01	2	33.93	-10.58	-31.61	2.96	-0.0049	0.2219	0.9751	0.2876	-12.8188	-33.11	-12.72	-29.64	2.71	0.0693	0.2243	0.9721	-4.0773	-12.9588	928.9808	336.9704	29.51	189.83	848.78
1.749450e-01	3	33.89	-11.11	-31.07	2.87	-0.0156	0.2167	0.9761	0.9163	-12.5153	-33.18	-12.74	-29.78	2.85	0.0496	0.2284	0.9723	-2.9228	-13.2007	943.8096	337.6140	17.34	210.19	941.95
1.947910e-01	4	33.67	-11.30	-31.38	2.86	-0.0233	0.1633	0.9863	1.3543	-9.3981	-33.22	-11.74	-31.97	3.14	0.0531	0.1292	0.9902	-3.0677	-7.4227	944.7782	414.4405	11.07	94.74	686.49
2.125570e-01	5	33.87	-12.94	-29.02	2.78	0.0040	0.2423	0.9702	-0.2378	-14.0226	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	911.3570	320.9035	36.79	162.95	675.22
2.319990e-01	6	33.41	-13.21	-28.57	2.79	0.1598	0.3198	0.9339	-9.7108	-18.6484	-33.39	-12.67	-31.02	3.04	0.0848	0.1244	0.9886	-4.9025	-7.1479	840.0461	337.4473	88.89	148.46	668.76
2.522860e-01	7	33.68	-12.25	-30.34	2.85	0.0758	0.1954	0.9778	-4.4336	-11.2704	-33.46	-12.98	-30.60	2.96	0.0851	0.1321	0.9876	-4.9259	-7.5888	881.7520	397.7117	58.58	106.38	683.65
2.723230e-01	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.923970e-01	9	33.70	-12.27	-30.38	2.81	0.0060	0.1800	0.9836	-0.3521	-10.3706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	909.3000	382.1580	38.09	118.55	684.44
3.123690e-01	10	33.71	-12.33	-30.32	2.78	-0.0255	0.1781	0.9837	1.4867	-10.2603	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	939.7354	384.4525	15.16	117.12	684.53
3.324660e-01	11	33.72	-12.32	-30.14	2.77	-0.0189	0.1889	0.9818	1.1042	-10.8882	-33.54	-12.68	-31.02	3.07	0.0981	0.1625	0.9818	-5.7087	-9.3501	920.5255	389.7260	21.82	83.39	505.47
3.524450e-01	12	33.77	-12.16	-30.26	2.82	-0.0110	0.1902	0.9817	0.6401	-10.9642	-33.48	-12.86	-30.58	3.06	0.0751	0.1707	0.9825	-4.3707	-9.8298	928.6669	381.8399	23.98	121.31	697.89
3.725380e-01	13	33.82	-11.89	-30.68	2.82	-0.0117	0.1808	0.9835	0.6816	-10.4152	-33.49	-12.84	-30.57	3.07	0.0799	0.1782	0.9807	-4.6581	-10.2665	926.6272	382.5957	25.23	119.28	689.63
3.925170e-01	14	33.85	-11.79	-30.85	2.84	-0.0124	0.1776	0.9840	0.7206	-10.2311	-33.37	-13.12	-29.96	3.02	0.0315	0.1853	0.9822	-1.8390	-10.6796	950.7801	376.7208	14.50	257.67	1433.00
4.126110e-01	15	33.85	-11.76	-30.90	2.84	-0.0157	0.1748	0.9845	0.9161	-10.0695	-33.46	-12.97	-30.28	3.03	0.0618	0.1797	0.9818	-3.5990	-10.3533	937.5700	383.6223	20.12	141.07	820.25
4.325890e-01	16	33.86	-11.74	-30.93	2.85	-0.0155	0.1729	0.9848	0.8999	-9.9550	-33.51	-12.90	-30.41	3.04	0.0760	0.1767	0.9813	-4.4300	-10.1780	930.2917	387.2350	22.46	116.10	691.60
4.526840e-01	17	33.86	-11.74	-30.92	2.85	-0.0158	0.1738	0.9847	0.9173	-10.0072	-33.48	-12.93	-30.34	3.05	0.0666	0.1798	0.9814	-3.8814	-10.3589	935.1669	384.5045	20.89	131.47	769.01
4.726620e-01	18	33.87	-11.73	-30.94	2.85	-0.0148	0.1733	0.9848	0.8634	-9.9797	-33.47	-12.94	-30.31	3.05	0.0634	0.1815	0.9814	-3.6962	-10.4547	936.3211	383.5873	20.90	138.76	806.73
4.927560e-01	19	33.87	-11.73	-30.95	2.86	-0.0148	0.1726	0.9849	0.8609	-9.9376	-33.48	-12.94	-30.30	3.05	0.0610	0.1823	0.9814	-3.5568	-10.5026	937.4907	383.3570	20.42	142.87	829.32
5.127340e-01	20	33.87	-11.73	-30.95	2.86	-0.0152	0.1718	0.9850	0.8835	-9.8916	-33.48	-12.94	-30.29	3.05	0.0607	0.1827	0.9813	-3.5385	-10.5262	937.8239	383.5884	20.01	141.92	825.04
5.328280e-01	21	33.86	-11.78	-30.84	2.84	-0.0207	0.1717	0.9849	1.2050	-9.8876	-33.48	-12.94	-30.29	3.05	0.0603	0.1830	0.9813	-3.5182	-10.5461	940.5839	384.0456	16.36	132.30	771.22
5.528070e-01	22	33.86	-11.76	-30.88	2.85	-0.0180	0.1729	0.9848	1.0495	-9.9592	-33.50	-12.94	-30.29	3.04	0.0674	0.1820	0.9810	-3.9285	-10.4837	935.8502	384.2352	19.45	126.11	736.28
5.729010e-01	23	33.86	-11.75	-30.89	2.86	-0.0171	0.1741	0.9846	0.9926	-10.0247	-33.51	-12.94	-30.29	3.04	0.0703	0.1812	0.9809	-4.1016	-10.4399	933.9207	384.1677	20.60	123.69	721.95
5.928790e-01	24	33.85	-11.75	-30.89	2.86	-0.0160	0.1746	0.9845	0.9303	-10.0558	-33.52	-12.94	-30.28	3.04	0.0722	0.1816	0.9807	-4.2083	-10.4606	932.5167	383.7771	21.53	122.91	715.70
6.129740e-01	25	33.84	-11.80	-30.80	2.84	-0.0220	0.1724	0.9848	1.2821	-9.9279	-33.52	-12.94	-30.26	3.05	0.0717	0.1840	0.9803	-4.1839	-10.6042	935.5615	384.3733	17.77	113.78	664.91
6.329520e-01	26	33.86	-11.78	-30.84	2.86	-0.0180	0.1735	0.9847	1.0465	-9.9904	-33.51	-12.95	-30.23	3.05	0.0711	0.1861	0.9800	-4.1476	-10.7247	933.9943	382.3576	19.89	121.01	698.15
6.530460e-01	27	33.86	-11.77	-30.85	2.86	-0.0174	0.1731	0.9847	1.0122	-9.9706	-33.51	-12.93	-30.26	3.05	0.0635	0.1855	0.9806	-3.7068	-10.6928	937.4758	382.0617	18.97	133.59	769.06
6.730250e-01	28	33.86	-11.76	-30.87	2.86	-0.0185	0.1722	0.9849	1.0744	-9.9150	-33.51	-12.92	-30.28	3.05	0.0596	0.1864	0.9807	-3.4762	-10.7446	939.9354	381.9087	17.37	137.57	791.05
6.931180e-01	29	33.85	-11.77	-30.86	2.85	-0.0184	0.1732	0.9847	1.0681	-9.9722	-33.51	-12.92	-30.27	3.05	0.0553	0.1882	0.9806	-3.2270	-10.8475	942.0117	380.2177	16.42	146.47	833.12
7.130970e-01	30	33.84	-11.79	-30.81	2.84	-0.0223	0.1722	0.9848	1.2972	-9.9171	-33.51	-12.92	-30.25	3.05	0.0502	0.1897	0.9806	-2.9296	-10.9373	946.3662	380.0217	12.43	146.73	833.29
7.331910e-01	31	33.84	-11.78	-30.82	2.84	-0.0212	0.1718	0.9849	1.2352	-9.8945	-33.52	-12.90	-30.28	3.05	0.0536	0.1885	0.9806	-3.1263	-10.8675	944.2100	380.9198	14.05	142.39	813.33
7.531700e-01	32	33.83	-11.78	-30.82	2.83	-0.0224	0.1701	0.9852	1.3025	-9.7955	-33.56	-12.81	-30.47	3.06	0.0654	0.1918	0.9793	-3.8185	-11.0577	938.9110	381.3826	15.71	118.68	680.19
7.732630e-01	33	33.84	-11.78	-30.82	2.82	-0.0224	0.1693	0.9853	1.3020	-9.7481	-33.58	-12.76	-30.56	3.07	0.0694	0.1936	0.9786	-4.0587	-11.1613	936.8630	381.3148	16.29	112.15	642.61
7.932420e-01	34	33.83	-11.80	-30.79	2.82	-0.0211	0.1706	0.9851	1.2293	-9.8234	-33.59	-12.73	-30.63	3.08	0.0716	0.1938	0.9784	-4.1851	-11.1767	935.2116	380.5264	17.40	112.25	640.09
