timestamp	gyroscopy_x	gyroscopy_y	gyroscopy_z
2.172050e-01	-1.485e-02	6.101e+00	-2.427e+00
2.253560e-01	-1.046e-01	6.138e+00	-2.465e+00
2.335070e-01	-8.962e-02	6.131e+00	-2.390e+00
2.416570e-01	5.992e-02	5.966e+00	-2.405e+00
2.498080e-01	2.169e-01	5.966e+00	-2.375e+00
2.579580e-01	2.917e-01	5.988e+00	-2.360e+00
2.661090e-01	3.964e-01	5.921e+00	-2.367e+00
2.742600e-01	6.730e-01	5.697e+00	-2.375e+00
2.824100e-01	9.422e-01	5.570e+00	-2.367e+00
2.905610e-01	9.272e-01	5.502e+00	-2.285e+00
2.987120e-01	8.300e-01	5.420e+00	-2.180e+00
3.068620e-01	8.749e-01	5.353e+00	-2.136e+00
3.150130e-01	9.272e-01	5.331e+00	-2.083e+00
3.231640e-01	1.137e+00	5.345e+00	-2.195e+00
3.313140e-01	9.347e-01	5.405e+00	-2.068e+00
3.394650e-01	8.226e-01	5.428e+00	-1.904e+00
3.476150e-01	8.824e-01	5.450e+00	-1.799e+00
3.557660e-01	8.600e-01	5.615e+00	-1.739e+00
3.639170e-01	1.054e+00	5.779e+00	-1.665e+00
3.720670e-01	8.674e-01	5.996e+00	-1.470e+00
3.802180e-01	5.609e-01	6.392e+00	-1.156e+00
3.883690e-01	5.011e-01	6.661e+00	-1.081e+00
3.965190e-01	3.291e-01	6.841e+00	-9.318e-01
4.046700e-01	3.067e-01	7.043e+00	-1.074e+00
4.128210e-01	5.758e-01	7.147e+00	-1.246e+00
4.209710e-01	5.384e-01	7.110e+00	-1.425e+00
4.294420e-01	3.440e-01	7.110e+00	-1.605e+00
4.379140e-01	2.169e-01	7.028e+00	-1.717e+00
4.463850e-01	3.440e-01	7.013e+00	-2.023e+00
4.548560e-01	2.394e-01	6.803e+00	-2.248e+00
4.633270e-01	3.067e-01	6.602e+00	-2.397e+00
4.717980e-01	3.889e-01	6.243e+00	-2.457e+00
4.802690e-01	4.562e-01	6.063e+00	-2.532e+00
4.887410e-01	2.693e-01	5.951e+00	-2.487e+00
4.972120e-01	5.160e-01	5.727e+00	-2.524e+00
5.056830e-01	4.113e-01	5.600e+00	-2.420e+00
5.141540e-01	5.908e-01	5.458e+00	-2.494e+00
5.226250e-01	5.235e-01	5.316e+00	-2.382e+00
5.310960e-01	4.786e-01	5.345e+00	-2.195e+00
5.395680e-01	4.562e-01	5.502e+00	-1.994e+00
5.480390e-01	6.207e-01	5.502e+00	-1.926e+00
5.565100e-01	6.880e-01	5.488e+00	-2.061e+00
5.649810e-01	4.188e-01	5.585e+00	-2.203e+00
5.734520e-01	5.459e-01	5.562e+00	-2.367e+00
5.819230e-01	7.478e-01	5.622e+00	-2.323e+00
5.903950e-01	9.347e-01	5.592e+00	-2.397e+00
5.988660e-01	9.347e-01	5.749e+00	-2.240e+00
6.073370e-01	8.824e-01	6.063e+00	-1.934e+00
6.158080e-01	9.422e-01	6.235e+00	-1.530e+00
6.242790e-01	1.107e+00	6.557e+00	-1.223e+00
6.323900e-01	9.198e-01	6.721e+00	-9.019e-01
6.405000e-01	7.852e-01	6.938e+00	-8.869e-01
6.486100e-01	6.431e-01	6.953e+00	-1.126e+00
6.567210e-01	3.964e-01	6.818e+00	-1.306e+00
6.648310e-01	5.833e-01	6.684e+00	-1.687e+00
6.729410e-01	2.169e-01	6.527e+00	-1.784e+00
6.810520e-01	-5.971e-02	6.377e+00	-1.919e+00
6.891620e-01	-4.336e-01	6.228e+00	-2.016e+00
6.972720e-01	-5.457e-01	5.966e+00	-1.964e+00
7.053830e-01	-4.485e-01	5.802e+00	-2.113e+00
7.134930e-01	-3.887e-01	5.607e+00	-2.098e+00
7.216040e-01	-3.588e-01	5.420e+00	-2.061e+00
7.297140e-01	-6.354e-01	5.263e+00	-1.986e+00
7.378240e-01	-5.532e-01	5.054e+00	-2.016e+00
7.459350e-01	-4.410e-01	4.859e+00	-2.233e+00
7.540450e-01	-4.709e-01	4.830e+00	-2.367e+00
