video_type	frame_index	timestamp
scene	1	0.000000
scene	2	0.040000
scene	3	0.080000
scene	4	0.120000
scene	5	0.160000
scene	6	0.200000
scene	7	0.240400
scene	8	0.280400
scene	9	0.320400
scene	10	0.360400
scene	11	0.400400
scene	12	0.440800
scene	13	0.480800
scene	14	0.520800
scene	15	0.560800
scene	16	0.600800
scene	17	0.640800
scene	18	0.681200
scene	19	0.721200
scene	20	0.761200
scene	21	0.801200
scene	22	0.841200
scene	23	0.881600
scene	24	0.921600
scene	25	0.961600
scene	26	1.001600
scene	27	1.041600
scene	28	1.081600
scene	29	1.122000
scene	30	1.162000
scene	31	1.202000
scene	32	1.242000
scene	33	1.282000
scene	34	1.322400
scene	35	1.362400
scene	36	1.402400
scene	37	1.442400
scene	38	1.482400
scene	39	1.522400
scene	40	1.562800
scene	41	1.602800
scene	42	1.642800
scene	43	1.682800
scene	44	1.722800
scene	45	1.763200
scene	46	1.803200
scene	47	1.843200
scene	48	1.883200
scene	49	1.923200
scene	50	1.963200
scene	51	2.003600
scene	52	2.043600
scene	53	2.083600
scene	54	2.123600
scene	55	2.163600
scene	56	2.204000
scene	57	2.244000
scene	58	2.284000
scene	59	2.324000
scene	60	2.364000
scene	61	2.404000
scene	62	2.444400
scene	63	2.484400
scene	64	2.524400
scene	65	2.564400
scene	66	2.604400
scene	67	2.644800
scene	68	2.684800
scene	69	2.724800
scene	70	2.764800
scene	71	2.804800
scene	72	2.844800
scene	73	2.885200
scene	74	2.925200
scene	75	2.965200
scene	76	3.005200
scene	77	3.045200
scene	78	3.085600
scene	79	3.125600
scene	80	3.165600
scene	81	3.205600
scene	82	3.245600
scene	83	3.285600
scene	84	3.326000
scene	85	3.366000
scene	86	3.406000
scene	87	3.446000
scene	88	3.486000
scene	89	3.526400
scene	90	3.566400
scene	91	3.606400
scene	92	3.646400
scene	93	3.686400
scene	94	3.726400
scene	95	3.766800
scene	96	3.806800
scene	97	3.846800
scene	98	3.886800
scene	99	3.926800
scene	100	3.967200
scene	101	4.007200
scene	102	4.047200
scene	103	4.087200
scene	104	4.127200
scene	105	4.167200
scene	106	4.207600
scene	107	4.247600
scene	108	4.287600
scene	109	4.327600
scene	110	4.367600
scene	111	4.408000
scene	112	4.448000
scene	113	4.488000
scene	114	4.528000
scene	115	4.568000
scene	116	4.608000
scene	117	4.648400
scene	118	4.688400
scene	119	4.728400
scene	120	4.768400
scene	121	4.808400
scene	122	4.848800
scene	123	4.888800
scene	124	4.928800
scene	125	4.968800
scene	126	5.008800
scene	127	5.048800
scene	128	5.089200
scene	129	5.129200
scene	130	5.169200
scene	131	5.209200
scene	132	5.249200
scene	133	5.289600
scene	134	5.329600
scene	135	5.369600
scene	136	5.409600
scene	137	5.449600
scene	138	5.489600
scene	139	5.530000
scene	140	5.570000
scene	141	5.610000
scene	142	5.650000
scene	143	5.690000
scene	144	5.730000
scene	145	5.770400
scene	146	5.810400
scene	147	5.850400
scene	148	5.890400
scene	149	5.930400
scene	150	5.970800
scene	151	6.010800
scene	152	6.050800
scene	153	6.090800
scene	154	6.130800
scene	155	6.170800
scene	156	6.211200
scene	157	6.251200
scene	158	6.291200
scene	159	6.331200
scene	160	6.371200
scene	161	6.411600
scene	162	6.451600
scene	163	6.491600
scene	164	6.531600
scene	165	6.571600
scene	166	6.611600
scene	167	6.652000
scene	168	6.692000
scene	169	6.732000
scene	170	6.772000
scene	171	6.812000
scene	172	6.852400
scene	173	6.892400
scene	174	6.932400
scene	175	6.972400
scene	176	7.012400
scene	177	7.052400
scene	178	7.092800
scene	179	7.132800
scene	180	7.172800
scene	181	7.212800
scene	182	7.252800
scene	183	7.293200
scene	184	7.333200
scene	185	7.373200
scene	186	7.413200
scene	187	7.453200
scene	188	7.493200
scene	189	7.533600
scene	190	7.573600
scene	191	7.613600
scene	192	7.653600
scene	193	7.693600
scene	194	7.734000
scene	195	7.774000
scene	196	7.814000
scene	197	7.854000
scene	198	7.894000
scene	199	7.934000
scene	200	7.974400
scene	201	8.014400
scene	202	8.054400
scene	203	8.094400
scene	204	8.134400
scene	205	8.174800
scene	206	8.214800
scene	207	8.254800
scene	208	8.294800
scene	209	8.334800
scene	210	8.374800
scene	211	8.415200
scene	212	8.455200
scene	213	8.495200
scene	214	8.535200
scene	215	8.575200
scene	216	8.615600
scene	217	8.655600
scene	218	8.695600
scene	219	8.735600
scene	220	8.775600
scene	221	8.815600
scene	222	8.856000
scene	223	8.896000
scene	224	8.936000
scene	225	8.976000
scene	226	9.016000
scene	227	9.056400
scene	228	9.096400
scene	229	9.136400
scene	230	9.176400
scene	231	9.216400
scene	232	9.256400
scene	233	9.296800
scene	234	9.336800
scene	235	9.376800
scene	236	9.416800
scene	237	9.456800
scene	238	9.497200
scene	239	9.537200
scene	240	9.577200
scene	241	9.617200
scene	242	9.657200
scene	243	9.697200
scene	244	9.737600
scene	245	9.777600
scene	246	9.817600
scene	247	9.857600
scene	248	9.897600
scene	249	9.938000
scene	250	9.978000
scene	251	10.018000
scene	252	10.058000
scene	253	10.098000
scene	254	10.138000
scene	255	10.178400
scene	256	10.218400
scene	257	10.258400
scene	258	10.298400
scene	259	10.338400
scene	260	10.378800
scene	261	10.418800
scene	262	10.458800
scene	263	10.498800
scene	264	10.538800
scene	265	10.578800
scene	266	10.619200
scene	267	10.659200
scene	268	10.699200
scene	269	10.739200
scene	270	10.779200
